id	n_type	s_map	s_pos
顺序	类型，每个类型单独随机计算	图片	彩蛋位置
1	1	map001	-36.26#62.18#153.08#-499.96
2	1	map001	-75.55#62.15#151.76#-620.58
3	1	map001	-25.04#40.11#225.65#-320.03
4	1	map001	147.74#40.11#265.49#-370.12
5	1	map001	152.55#41.67#62.60#-504.58
6	1	map001	-36.39#42.63#92.43#-668.04
7	1	map001	-56.86#40.53#122.85#-879.61
8	1	map001	-124.28#69.62#98.43#-736.43
9	1	map001	-121.14#69.62#202.87#-1228.28
10	1	map001	-169.10#40.11#170.25#-1508.39
11	1	map001	-226.90#46.81#161.92#-1524.21
12	1	map001	-210.30#40.11#107.63#-1607.92
13	1	map001	-124.59#40.53#146.58#-1783.90
14	1	map_school	25.37#11.07#63.13#-2244.10
15	1	map_school	12.51#19.82#38.99#-2611.88
16	1	map_school	34.46#21.06#20.26#-2498.52
17	1	map_school	24.27#20.31#81.73#-2979.00
18	1	map_school	26.46#21.86#33.51#-3058.09
19	1	map_school	35.25#11.07#31.32#-2915.72
20	1	map_school	16.77#11.07#16.78#-2518.28
