id	n_type	s_map	s_pos
顺序	类型，每个类型单独随机计算	图片	彩蛋位置
1	1	g2053_changjing_easy	20.967326#20.660000#47.270582
2	1	g2053_changjing_easy	53.557326#20.660000#23.160583
3	1	g2053_changjing_easy	52.057326#16.790000#53.760585
4	1	g2053_changjing_easy	-7.7287326#15.710000#61.120586
5	1	g2053_changjing_easy	32.687326#9.060000#34.900582
6	1	g2053_changjing_easy	30.087326#15.090000#38.590583
7	1	g2053_changjing_easy	42.137326#15.730000#37.405684
8	1	g2053_changjing_easy	28.737326#15.660000#26.430585
9	2	g2053_changjing_normal	20.967326#20.660000#47.270582
10	2	g2053_changjing_normal	53.557326#20.660000#23.160583
11	2	g2053_changjing_normal	52.057326#16.790000#53.760585
12	2	g2053_changjing_normal	-7.7287326#15.710000#61.120586
13	2	g2053_changjing_normal	32.687326#9.060000#34.900582
14	2	g2053_changjing_normal	30.087326#15.090000#38.590583
15	2	g2053_changjing_normal	42.137326#15.730000#37.405684
16	2	g2053_changjing_normal	28.737326#15.660000#26.430585
17	3	g2053_changjing_hard	20.967326#20.660000#47.270582
18	3	g2053_changjing_hard	53.557326#20.660000#23.160583
19	3	g2053_changjing_hard	52.057326#16.790000#53.760585
20	3	g2053_changjing_hard	-7.7287326#15.710000#61.120586
21	3	g2053_changjing_hard	32.687326#9.060000#34.900582
22	3	g2053_changjing_hard	30.087326#15.090000#38.590583
23	3	g2053_changjing_hard	42.137326#15.730000#37.405684
24	3	g2053_changjing_hard	28.737326#15.660000#26.430585
25	4	g2053_changjing_nightmare	20.967326#20.660000#47.270582
26	4	g2053_changjing_nightmare	53.557326#20.660000#23.160583
27	4	g2053_changjing_nightmare	52.057326#16.790000#53.760585
28	4	g2053_changjing_nightmare	-7.7287326#15.710000#61.120586
29	4	g2053_changjing_nightmare	32.687326#9.060000#34.900582
30	4	g2053_changjing_nightmare	30.087326#15.090000#38.590583
31	4	g2053_changjing_nightmare	42.137326#15.730000#37.405684
32	4	g2053_changjing_nightmare	28.737326#15.660000#26.430585
